,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock,asset_class,shock
134,6,0.000893009,3.45e+11,2.76e+12,-308251553.6,4685595655.0,2.89e+12,0.632442059,-4050773440.0,1.27e+11,0.367557941,m_14,-0.529457269
135,7,0.000292323,3.45e+11,2.76e+12,-100904924.0,4683731642.0,2.89e+12,0.632744195,-1325987926.0,1.27e+11,0.367255805,m_14,-0.529457269
136,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.41952372
137,1,0.133933181,3.45e+11,3.74e+12,-46231444407.0,32276536742.0,3.93e+12,0.438425877,-6.78e+11,1.94e+11,0.561574123,m_14,-0.41952372
138,2,0.029225641,3.45e+11,3.6e+12,-10088191557.0,15018336114.0,3.76e+12,0.537621035,-1.34e+11,1.6e+11,0.462378965,m_14,-0.41952372
139,3,0.005366157,3.45e+11,3.58e+12,-1852305819.0,12576539827.0,3.73e+12,0.556746048,-24550833152.0,1.53e+11,0.443253952,m_14,-0.41952372
140,4,0.001692894,3.45e+11,3.57e+12,-584357998.6,12270307027.0,3.72e+12,0.559500211,-7699906451.0,1.52e+11,0.440499789,m_14,-0.41952372
141,5,0.000555426,3.45e+11,3.57e+12,-191723575.9,12209255015.0,3.72e+12,0.560398459,-2525688324.0,1.52e+11,0.439601541,m_14,-0.41952372
142,6,0.000182229,3.45e+11,3.57e+12,-62902241.48,12189241703.0,3.72e+12,0.56069318,-828633486.3,1.52e+11,0.43930682,m_14,-0.41952372
143,7,5.98e-05,3.45e+11,3.57e+12,-20630790.9,12182676513.0,3.72e+12,0.560789852,-271776000.5,1.52e+11,0.439210148,m_14,-0.41952372
144,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.331997607
145,1,0.019410524,3.45e+11,4.31e+12,-6700180990.0,47355375201.0,4.5e+12,0.435012729,-89193029726.0,1.95e+11,0.564987271,m_14,-0.331997607
